name,house_number,road,postcode,locality,region,country,country_code
bend goodwill,61315,s. hwy 97,97702,bend,or,united states,
,1630,geary boulevard,94115,san francisco,ca,usa,
,110,southampton row,wc1b 4bl,london,london,united kingdom,
air liquide campus innovation paris,1,chemin de la porte des loges,78350,les loges-en-josas,,france,
mary brown's,632,topsail rd,a1e 2c9,st. john's,nl,,
kfc,260,belle hill road,,elkton,md,,
sandman hotel cranbrook,405,cranbrook st n,v1c 3r5,cranbrook,,canada,
albergo al sole,33,via collegio,31011,asolo,venetien,it,it
firestone complete auto care,2620,s voss road,77057,houston,tx,,
fulton bank,3545,dam neck road,23453,virginia beach,va,,
,objekt 64,iz nö-süd straße 3,2355,wiener neudorf,,at,at
,2162,market street,,san francisco,monza e brianza,united states,
a&o bremen hauptbahnhof,20a,friedrich-rauers-straße,,bremen,bremen,германия,
,97,flandernstr.,72458,albstadt,,,
klinikum osnabrück,1,am finkenhügel,49074,osnabrück,województwo pomorskie,,
,4,place de la république,71490,couches,,france,
twin state ford,8,memorial drive,05819,st johnsbury,vt,us,us
the heights theater,339,w. 19th street,77008,houston,texas,us,us
warwick melrose hotel,3015,oak lawn avenue,75219,dallas,tx,us,us
,1001,bannock st.,80204,denver,co,us,us
courtyard by marriott west palm beach,600,northpoint parkway,33407,west palm beach,florida,united states,
,63a,drottninggatan,,norrköping,,,
,100,west reno ave,73102,oklahoma city,ok,united states of america,
,3,harmshof,29646,bispingen,,,
"żabka, batorego 19",19,batorego,28-100,busko-zdrój,,,
,5501,n may ave,73112,oklahoma city,ok,,
los leones interclinica,98,almirante latorre,2290000,quillota,vs,cl,cl
achat premium neustadt / weinstraße,2,exterstrasse,67433,neustadt an der weinstrasse,rhineland-palatinate,germany,
,20-21,main street,p17 f592,kinsale,cork,ie,ie
petco - boulder,2480,arapahoe ave,80302,boulder,,us,us
,60,3 maja,14-400,pasłęk,,,
villa casati stampa,5,piazza soncino,,cinisello balsamo,,,
sharp memorial hospital,7901,frost st,92123,san diego,california,,
,1855,north state street,61008,belvidere,illinois,,
,75,nieuwe binnenweg,3014 ge,rotterdam,,nl,nl
"mandarin oriental, miami",500,brickell key drive,33131,miami,florida,estados unidos,
,1,kolejowa,46-040,ozimek,opolskie,,
dgh offensen,10,bramburger str.,37170,uslar,,,
"mcdonald's, andre freyskorn-straße 2",2,andre freyskorn-straße,3910,zwettl,,,
dr. klaus platzer,13,bahnhofstraße,8570,voitsberg,,,
,12410,east 136th avenue,80601,brighton,colorado,,
douglass park,1401,s sacramento drive,60623,chicago,il,usa,
hotel schmied von kochel,6,schlehdorfer str.,82431,kochel am see,,,
discovery,4,hornbergstr.,70188,stuttgart,baden-württemberg,tyskland,
hotel mioni royal san,10,p.le stazione,35036,montegrotto terme,pd,italia,
,161,arthurs point road,9371,queenstown,,new zealand,
holiday inn & suites nashville down,415,4th avenue south,37201,nashville,tn,us,us
hyatt regency seattle,808,howell street,98101,seattle,washington,usa,
gallery nasty alice,10,sint antoniusstraat,5616 rt,eindhoven,,nl,nl
,720,main st,94553,martinez,ca,,
,1,siegfried-meister-straße,86899,landsberg am lech,bayern,deutschland,
,33,aleja rzeczypospolitej,80-001,gdańsk,,polska,
,5,koningstraat,2011 tb,haarlem,,netherlands,
manitoba vs. alberta · 05:00 pm   ·  cn centre,,,--,prince george,bc,ca,ca
storyville,8,museokatu,00100,helsinki,,,
hampton inn & suites cleveland-airport/middleburg heights,7074,engle road,44130,middleburg heights,ohio,united states,
bellwood animal hospital,1869,north bell school road,61107,rockford,illinois,us,us
deliverance church of christ,500,jadeleaf avenue,20743,capitol heights,md,,
,7701,airline drive,70003,metairie,la,,
,15,cours jean jaurès,71600,paray-le-monial,,france,
,3000,n sam houston parkway e,77032,houston,texas,,
hotel cosmopolite,141,albert i laan,8620,nieuwpoort,,belgien,
,900,s figueroa street,,downtown los angeles,,united states,
,7,viktoriastr.,66450,bexbach,saarland,germany,
hampton inn & suites dallas downtown,1700,commerce street,75201,dallas,texas,united states,
,2,rue très-cloîtres,38000,grenoble,,,
die glocke (kleiner saal),6-8,domsheide,28195,bremen,,germany,
,5,plaza santa brígida,47003,valladolid,valladolid,,
north high brewing,250,s. state st.,43081,westerville,oh,united states,
schützi,15,schützenmattweg,4600,olten,so,,
landhotel traube,9b,kapitän-romer-straße,78465,konstanz,,tyskland,
,13,isla graciosa,28703,san sebastián de los reyes,comunidad de madrid,españa,
,220,lygon street,3053,melbourne,victoria,australia,
,14,cannerweg,6213 bg,maastricht,,,
dierenpaleis,112,smaragdplein,3523ed,utrecht,,,
mcdonald's,101,e centerton blvd,72719,centerton,ar,us,us
,65,hans-neupert-straße,38820,halberstadt,,de,de
"bellaflora bruck\/mur, bruckerstraße 98",98,bruckerstraße,8600,bruck an der mur,,,
audioprothésiste - optical center challans,80,rue carnot,85300,challans,,france,
advance financial,4270,fort henry drive,37663,kingsport,tn,,
,2,avenue charles de gaulle,78150,le chesnay,,france,
,32,wächterstraße,04107,leipzig,saxony,germany,
la croix verte,1,grand rue,1267,nyon,,suisse,
,18a,bohaterów warszawy,72-500,miedzyzdroje,,polska,
anaheim—convention center,800,w katella ave,92802,anaheim,ca,reino unido,
hotel moawirt,1,moadörfl,5602,wagrain,salzburg,austria,
radiant waxing pearl district,923,nw glisan street,97209,portland,or,us,us
scapino,14,de dellen,9231eb,"surhuisterveen, nederland",,,
"heywood house hotel, bw signature collection by best western",11,fenwick street,l2 7ls,ลิเวอร์พูล,,สหราชอาณาจักร,
mercure chambery centre,183,place de la gare,73000,chambery,,francia,
citizenm boston north station hotel,70,causeway street,02114,boston,massachusetts,estados unidos,
,7500,montpelier road,20723,laurel,md,,
uhren & schmuck plakolm,31,werdenbergerstraße,6700,bludenz,,at,at
,401,broad street,18337,milford,pa,,
,38,dorpsstraat,8181 hs,heerde,,,
,1,grossherzog-leopold-platz,79359,riegel am kaiserstuhl,,,
,3823,thousand oaks dr,78217,san antonio,tx,us,us
hotel welp,227,natruper str.,49090,osnabrück,niedersachsen,deutschland,
,556,village square lane,80108,"castle pines,",co,,
schooner wharf bar,202,william st,33040,key west,fl,us,us
,,,,záhorská ves,bratislavský kraj,,
,10,steinmüllerallee,51643,gummersbach,,,
"aronoff center for the arts, jarson-kaplan theater",650,walnut street,45202,cincinnati,ohio,,
ohio stadium,411,woody hayes dr.,43210,columbus,oh,us,us
the benson hotel,309,sw broadway,97205,"portland, or",,,
atelier henry simon – les rimajures,75,boulevard georges pompidou,85800,saint-gilles-croix-de-vie,,,
,6,piazzale d'annunzio gabriele,33100,udine,friuli venezia giulia,,
los angeles leadership academy,2670,griffin ave.,90031,los angeles,ca,us,us
oakshire public house,207,madison st,97402,eugene,oregon,united states,
,31761,camino capistrano,92675,san juan capistrano,ca,,
,130,w lancaster ave,19003,ardmore,pennsylvania,united states,
,,,g1r 3x4,québec,qc,canada,
,333,ludlow street,06902,stamford,ct,us,us
rossmann drogerie-markt kuhlenkamp 2 b         in 24217 schönberg,2 b,kuhlenkamp,24217,schönberg,,de,de
,1,hofgut imsbach,,theley,,,
howard johnson evansville east,1101,north green river road,47715,evansville,indiana,estados unidos,
,5,rue paul vaillant couturier,94700,maisons-alfort,val-de-marne,,
,69,zähringerstrasse,76133,karlsruhe,,de,de
ibis styles liverpool centre dale street - cavern quarter,67,dale street,l2 2hj,liverpool,englanti,yhdistynyt kuningaskunta,
le forum,95,boulevard de l'oise,95490,vaureal,île-de-france,,
schmidt karl-heinz glaserei,32,große paaschburg,25524,itzehoe,,,
,910,kapahulu ave,96816,honolulu,hawaii,,
calverton national cemetery,210,princeton boulevard,11933,calverton,,united states,
,420,the east mall,m9b 3z9,toronto,on,ca,ca
,,,224 78,lund,,se,se
band on the wall,25,swan street,m4 5jz,manchester,,,
,,,10115,berlin,,germany,
millestgården eco lodge åre ab,,,837 71,duved,,sverige,
finkenkrug- die kneipe im duisburger univiertel,71,sternbuschweg,47057,duisburg,,deutschland,
,409,w henderson street,76033,cleburne,texas,,
public storage - everett - 140 broadway,140,broadway,02149,everett,ma,us,us
bmö tankstelle bremen,41,hans bredow str.,28307,bremen,,de,de
schlossberghalle,33,wörthstraße,78564,wehingen,,deutschland,
,7170,woodmont avenue,20815,bethesda,md,us,us
motel l alvsjo,209,gotalandsvagen,125 44,stockholm,,zweden,
,151,crailoseweg,1261 aa,blaricum,,netherlands,
clear choice natural healthcare,1953,south blvd w,48098,troy,mi,,
sacandaga outdoor center,4162,rockwell street,12835,hadley,ny,us,us
buc-ee's,7001,russell parkway,31030,fort valley,ga,,
simkus recreation center,849,w lies road,60188,carol stream,il,united states,
,22,hauptstraße,69117,heidelberg,,,
home2 suites by hilton columbus dublin,5000,upper metro place,43017,dublin,ohio,usa,
,50,urachtalstraße,78147,vöhrenbach,,,
wojewódzki szpital zespolony w kielcach,45,grunwaldzka,25-736,kielce,swietokrzyskie,,
gallerie d’italia – napoli,185,via toledo,80132,napoli,,italia,
,8,skarphällsgatan,,visby,,,
dakota glasgow,179,west regent street,g2 4dp,glasgow,escocia,reino unido,
kruidvat,26,singel,3861 ae,nijkerk,,,
springhill suites pittsburgh washington,16,trinity point drive,15301,washington,pennsylvania,usa,
,6,schulstr.,29386,hankensbüttel,,,
,713,s washington ave,55415,minneapolis,mn,,
muffathalle,4,zellstr.,81667,münchen,bayern,deutschland,
,2,thornburyplatz,31167,bockenem,niedersachsen,de,de
,7245,s 76th st,53132,franklin,wi,,
,717,spence lane,37217,nashville,tennessee,united states,
kreisverband tecklenburger land e.v.,27,groner allee,49477,ibbenbüren,,,
,2110,blue ridge road,27607,raleigh,nc,united states of america,
dierenboetiek de,135,schrans,8932nd,leeuwarden,,,
bio-hofladen honhardt - honhardter demeterhöfe gbr,15,ostweg,74586,frankenhardt,,,
mandalay bay resort & casino,3950,las vegas blvd s,89119,las vegas,nv,united states,
,10,marktstr.,88677,markdorf,,,
talbert's ice & beverage service,5234,river road,20816,bethesda,md,,
,118,boschetsrieder straße,81379,münchen,,,
,2701,university avenue,53705,madison,wisconsin,,
quai des arts,774,bd perron,,carleton-sur-mer,qc,canada,
,30,schneidergasse,4001,"basel, altstadt grossbasel",,,
stephen d burcham cpa,522,1st street,25701,huntington,wv,us,us
,615,whitestown road,16001,butler,pennsylvania,,
,146,bockelstr.,70619,stuttgart,de-bw,de,de
pension störtebeker,1,westbahnstr.,18586,sellin,mecklenburg-vorpommern,deutschland,
hotel san cayetano,16,calle sevilla,29400,ronda,,spania,
,57,freiberger str.,"74321,","bietigheim-bissingen,",,germany,
tacoma dome,2727,east d street,98421,tacoma,wa,us,us
kyriad,384,avenue de verdun,36000,chateauroux,,france,
,6,rue de rome,1700,freiburg,fr,united states of america,
,14,zur hoppecke,34508,willingen,,germany,
,2014,aurora blvd,s4v 3t7,regina,sk,,
wbw solicitors and chartered financial planners,17,high st,,exmouth,,gb,gb
,44,westerd,7943gl,meppel,drenthe,netherlands,
,7,new road,bn1 1uf,brighton,england,united kingdom,
,1850,ogden avenue,60515,downers grove,illinois,,
granite subaru,193,lowell rd,03051,hudson,new hampshire,,
hotel super 8 by wyndham branson/andy williams theatre,2490,green mountain dr,65616,branson,,,
,325,spring st,95959,nevada city,ca,united states of america,
"siófok, hotel azúr",2/c,erkel ferenc u.,8600,siófok,,magyarország,
budget,899,north loop west,77008,houston,texas,estados unidos,
sam&ko kinderopvang kinderdagverblijven peuterspeelzalen bso gastouderopvang,3,brinkgreverweg,7413aa,deventer,,,
hotel diplomatic,42,via cernaia,10122,turin,,italie,
,30,bd de bonne nouvelle,75010,paris,,france,
one republic fitness,757,w san carlos street,95126,san jose,ca,,
,17771,santiago blvd,92861,villa park,ca,us,us
,57,cl reyes católicos,03003,alicante,alicante/alacant,es,es
texas trust cu theatre,1001,performance place,75050,grand prairie,,united states,
,3515,washington blvd,22201,arlington,virginia,קנדה,
fuego sports bar and club,140,south murphy avenue,,sunnyvale,ca,us,us
,45,school street,02108,boston,ma,,
,11611,bernardo plaza ct,92128,san diego,california,estados unidos,
,55,frome street,5000,阿德莱德,南澳州,澳大利亚,
,115,oststr.,40210,düsseldorf,düsseldorf,de,de
,950,s. cherry st.,80246,denver,colorado,,
the dana on mission bay,1710,west mission bay drive,,san diego,kalifornien,usa,
nyu skirball center for the performing arts,566,,10012,new york,ny,united states,
,176,yonge street,,toronto,rhode island,,
,21,schothorsterlaan,3822 na,amersfoort,,nl,nl
memphis university school,6191,park avenue,38119,memphis,tn,,
,46,maria theresien strasse,6020,innsbruck,tirol,áo,
the lodge at jackson hole,80,scott lane,83002,jackson,wyoming,usa,
‪jupiter lisboa hotel‬,46,avenida da republica,1050-195,لشبونة,,البرتغال,
,7,via dei fossi,,cavour,,,
,13,uniwersytecka,40-007,katowice,,polska,
de balie,10,kleine gartmanplantsoen,1017 rr,amsterdam,,netherlands,
,14,авангардная улица,,санкт-петербург,,,
,1,dortmunder str.,28199,bremen,,de,de
,1,rathausgasse,34576,homberg,hessen,de,de
emmaüs,39,rue de la combe,1037,etagnières,,ch,ch
teatr im. andreasa gryphiusa,8,rynek,,głogów,,,
holiday inn express richmond e - midlothian trnpke,8710,midlothian turnpike,23235,north chesterfield,virginia,united states,
ryan bisher ryan & simons,4323,nw 63rd st,73116,oklahoma city,ok,,
melanchthon-gemeindezentrum,124,osterholzer heerstr.,28325,bremen,,,
,20816,n 20th ave,85027,phoenix,az,usa,
marrol's boutique hotel,4,tobrucka,,bratislava,bratislava region,slovakia,
honeymoon room - services sky lux hotel & spa,93d,prospekt mira,423827,naberezhnye chelny,republic of tatarstan,russia,
jugendpension müllauerhof,357,vorderglemm,5753,saalbach,,,
comtat sant jordi,2,travessera ginebro,17250,platja d'aro,,spanje,
,11,sandy's row,,london,,,
panda express - turner mccall blvd & hicks dr,1421,turner mccall blvd,30161,rome,georgia,us,us
,1122,main street,94559,napa,ca,united states,
milwaukee dental group,5542,west fond du lac avenue,53216,milwaukee,wi,us,us
,400,8th st,24954,marlinton,wv,,
,18,jalan sultan nazrin shah,30250,ipoh,perak,malaysia,
,8,mient,1811 nc,alkmaar,,netherlands,
renton community center,1715,maple valley hwy,,renton,,,
agip eni tankstelle münchen - innsbrucker ring 149,149,innsbrucker ring,81669,münchen,,de,de
,146,heidestraße,60385,bornheim,frankfurt am main,,
,1560,e. southlake blvd.,76092,southlake,,,
,2,place de la république,63230,pontgibaud,,france,
,12,hoher weg,6020,innsbruck,tirol,austria,
,2109,s. state st.,60616,chicago,il,united states of america,
"suncoast park hotel anaheim resort, tapestry collection by hilton",1640,south clementine st,92802,anaheim,california,united states,
,1535,commercial way,95065,santa-cruz-county,california,united states,
burlington marriott hotel,1,burlington mall rd.,01803,burlington,ma,united states,
blind pig,208,south 1st street,48104,ann arbor,michigan,usa,
gemeindekindergarten sausewind,8,schulstraße,85395,attenkirchen,bayern,deutschland,
,4,madlower chaussee,03051,cottbus,,,
,6,3 maja,85-016,bydgoszcz,,pl,pl
hotel the neufchatel,34,rue de neufchatel,1060,brussels,brussels,belgium,
hotel bahia de alcudia and spa,6,av. de la playa,07410,puerto de alcudia,,españa,
ramada by wyndham des moines tropics resort & conference ctr,5000,merle hay road,50322,des moines,iowa,yhdysvallat,
thai herbs restaraunt,7779,sw capitol hwy,97219,portland,or,us,us
,500,fayetteville street,27601,raleigh,carolina del norte,estados unidos,
,999,oakmont plaza drive,60559,westmont,il,,
chocolate church arts center,804,washington st,04530,bath,me,united states,
citta' del teatro,656,via tosco romagnola,56021,cascina,,italia,
wylie inn and conference ctr,295,hale street,1915,beverly,ma,us,us
,,,08525,hopewell,nj,us,us
fenster kühn,7,lödlaer chaussee,04617,lödla,,,
la academia de estrellas,4680,west kiest boulevard,75236,dallas,zürich,,
la quinta inn by wyndham orlando airport west,7931,daetwyler drive,32812,orlando,fl,united states,
prirodoslovni muzej rijeka,1,lorenzov prolaz,51000,rijeka,,,
iceberg heating & cooling,111,n telegraph rd,48162,monroe,mi,usa,
pizzeria la sila,10,am markt,65795,hattersheim am main,,,
sky ridge medical center,10101,ridgegate pkwy,80124,lone tree,co,,
intercontinental edinburgh the george,19-21,george street,eh2 2pb,edinburgh,scotland,united kingdom,
viceroy santa monica,1819,ocean avenue,90401,santa monica,ca,us,us
mtc-club,10,zülpicher str.,50674,köln,,,
,112,saxkey rd,23937,drakes branch,va,us,us
,925,25th street northwest,20037,washington,dc,us,us
summit hotel,,via flacca km 23,04024,gaeta,,italia,
,14,hebbelstr.,94315,straubing,,,
duncanville education plaza,710,s. cedar ridge drive,75137,duncanville,,united states,
,3,feldstraße,17033,neubrandenburg,,,
hilton garden inn new york/west 35th street,63,west 35th street,10001,new york city,new york,united states,
,1,changiweg,1437 ep,"rozenburg, nl",,,
the chapel,777,valencia street,94110,san francisco,ca,us,us
,107,greenwich st,07823,belvidere,nj,,
budget lodge eugene,1291,highway 99n,97402,eugene,oregon,mỹ,
similaun,15,marzellweg,6458,vent,,,
,180,boulevard de l'europe,64230,lescar,,france,
"joinery hotel pittsburgh, curio collection by hilton",453,boulevard of the allies,15219,pittsburgh,pennsylvania,usa,
la guitarra hostel,12,grodzka,80-841,gdansk,pomorskie,ba lan,
,40,hütten,5771,leogang,,at,at
,8920,moreland st,43065,powell,ohio,,
aurora cellars,7788,east horn road,49653,lake leelanau,mi,us,us
hotel greenline schützenhof,47,schützenhofstr.,26441,jever,,,
,293a,waller heerstraße,28219,bremen,,de,de
comey & shepherd realtors,1440,main st,45205,cincinnati,oh,,
"uwm garland hall, room 104",2441,east hartford avenue,53211,milwaukee,wi,united states,
,30,via roma,33030,campoformido,friuli venezia giulia,,
toronto don valley hotel and suites,175,wynford drive,m3c 1j3,toronto,ontario,kanada,
,69,victoria road,8005,camps bay,,south africa,
element arundel mills bwi airport,7522,teague road,21076,hanover,maryland,états-unis,
restaurant en hotel hoog holten,7,forthaarsweg,7451 js,holten,,nederland,
,26,hirschhornstraße,74889,sinsheim,sinsheim,germany,
hotel finn,20,dalbyvagen,224 60,lund,,sverige,
,2,wendenhof,19055,schwerin,,de,de
,462,rue benjamin delessert,,moissy-cramayel,,,
grandpre’s,834,n rampart st,70116,new orleans,la,united states,
super 8 by wyndham abilene south,4397,sayles boulevard,79605,abilene,texas,united states,
,4226,university way ne,98105,seattle,wa,us,us
the happy wombat,575,hunter street,2302,newcastle west,nsw,au,au
,201,washington st sw,30303,atlanta,ga,,
,605,sylvan avenue,95350,modesto,california,,
eden hotel amsterdam,144,amstel,1017 ae,amsterdam,,the netherlands,
,701,sw broadway,97205,portland,or,,
kindercare,5812,darrow rd,k0a 1a0,hudson,oh,us,us
strasburg rail road,301,gap road,17572,ronks,pa,,
teatro comunale traiano,2,corso centocelle,,civitavecchia,lazio,it,it
,5701,n california ave,60659,chicago,南澳州,us,us
,15,leonhardstraße,8010,graz,styria,austria,
,1,schleinufer,39104,magdeburg,,,
,57,foveaux street,2010,sydney,new south wales,australia,
,11,mainau,96215,lichtenfels,,de,de
amc patton creek 15,4450,creekside avenue,35244,"hoover, alabama",,,
ox & anchor,877,palm st,93401,san luis obispo,ca,united states,
,184,rua dos fanqueiros,"1100-232,","lissabon,",,portugali,
,49,max-stromeyer-straße,78467,konstanz,,,
reparatur-werkstätte hammerschmid gmbh & co. kg,44,eberstettener str.,85276,pfaffenhofen a. d. ilm,,deutschland,
hopsquad brewing co,2307,kramer lane,78758,austin,tx,united states,
fahrschule gödde mobilitätscoaching gmbh,1,grabenweg,59602,rüthen,nrw,deutschland,
,403,e main st,17036,hummelstown,pa,,
,2249,w superior street,60612,chicago,il,,
gran hotel miramar gl,22,paseo reding,29016,málaga,andalucía,españa,
,15,permoserstraße,04318,leipzig,,,
walgreens,950,e kenosha st,74012,broken arrow,ok,us,us
,2,rue des lilas,92140,clamart,,france,
holly meadows golf and banquet center,4855,capac road,48014,capac,,united states,
,362,c. padre billini,.,santo domingo,distrito nacional,república dominicana,
,8880,e. via linda,85258,scottsdale,az,united states,
,80,scott lane,83002,jackson,wyoming,amerika serikat,
subway,1902,w francis ave,,spokane,wa,,
"fiskars brands, inc.",7800,discovery drive,53562,middleton,wi,,
carl's jr. 1102139,25300,sw 95th ave,97070,wilsonville,or,us,us
morrow family health center,76,s main st,43338,mount gilead,oh,,
,3014,washington square,78705,austin,tx,,
j & l foreign auto center,3138,cass avenue,48201,detroit,mi,us,us
ralf große metallbau,34,hinterste binde,37318,uder,,de,de
vitaminstore haarlem,16,barteljorisstraat,2011 rb,haarlem,,đức,
,2727,east d st,98421,tacoma,wa,united states of america,
aqua piscines,1953,avenue d'argelès sur mer,66100,perpignan,,fr,fr
the omni dallas,555,s lamar st,75202,dallas,tx,us,us
the alcove cantina,119,e main st,78664,round rock,tx,united states,
jw marriott los angeles l.a. live,900,west olympic boulevard,90015,los angeles,california,usa,
,12,langstraat,4196jb,tricht,tricht,nl,nl
springhill suites by marriott morgantown,1910,hunter's way,26505,morgantown,virginia (batı),abd,
sanny nails & beauty ab,6,clevevägen,,skoghall,,,
dr. christian ziegener,9,thielenstraße,14554,seddiner see,,deutschland,
plus florence,15,via santa caterina d'alessandria,50129,florence,tuscany,italy,
voco strasbourg centre the garden,9,rue des magasins,67000,straßburg,elsass,fr,fr
,1 14,mcleod ave,t7x 3x3,"spruce grove,",alberta,đức,
,420 424,union street,ab10 1tq,aberdeen,,,
stefan laschinger gmbh meisterbetrieb für dach-wand- und abdichtungstechnik,48,schwickingsfeld,46282,dorsten,,deutschland,
plainfield-guilford township public library,1120,stafford road,46168,"plainfield,",in,,
red roof inn berea,196,prince royal drive,40403,berea,kentucky,united states,
knollmeyer fleischerei und partyservice,31,gretescher weg,49084,osnabrück,niedersachsen,,
the fillmore silver spring,8656,colesville road,20910,silver spring,md,us,us
,384,main st,t0k 0k0,cardston,ab,canada,
,36,wiesenstraße,45473,mülheim an der ruhr,nw,de,de
ottawa embassy hotel & suites,25,cartier street,k2p 1j2,ottawa,ontario,kanada,
beachcomber motel,7500,coastal highway,21842,ocean city,maryland,united states,
,3,obere dorfstrasse,6533,fiss,tirol,austria,
,146,via emerico amari,90132,palermo,sicilia,italia,
,3513,east race ave,72143,searcy,ar,,
natalie’s grandview – charlie’s stage,945,king avenue,43212,columbus,oh,united states,
,1202,3rd street se,52403,"cedar rapids,",ia,,
nh collection roma palazzo cinquecento,90,piazza dei cinquecento,00185,rome,,italie,
santa fe higher education center,1950,siringo road,87505,santa fe,nm,,
,125,west jefferson blvd,46802,fort wayne,in,united states of america,
,23,mangfallweg,83629,weyarn,,deutschland,
mark ewin estate agents,77,st johns street,ip33 1sq,"bury st edmunds,",suffolk,united kingdom,
hempel special metals,128,zürichstrasse,8600,dübendorf,,,
,2792,south syene road,53711,fitchburg,wi,united states,
,2435,pinn road,78227,san antonio,texas,estados unidos,
